x,y,z
4.014825987815856934e+03,5.738911819458007812e+03,4.707558155059814453e+03
4.025090622901916504e+03,5.690809679031372070e+03,4.715834617614746094e+03
4.034948515892028809e+03,5.642112922668457031e+03,4.722254753112792969e+03
4.045820641517639160e+03,5.595045995712280273e+03,4.728302001953125000e+03
4.056008982658386230e+03,5.549011182785034180e+03,4.733311176300048828e+03
4.066146779060363770e+03,5.503129434585571289e+03,4.737454891204833984e+03
4.076110053062438965e+03,5.457114410400390625e+03,4.739585399627685547e+03
4.085668134689331055e+03,5.411443662643432617e+03,4.740560531616210938e+03
4.095714378356933594e+03,5.367020559310913086e+03,4.741332054138183594e+03
4.105161237716674805e+03,5.322483253479003906e+03,4.739866256713867188e+03
4.114073562622070312e+03,5.277988862991333008e+03,4.737255096435546875e+03
4.123917269706726074e+03,5.234321069717407227e+03,4.734606742858886719e+03
4.133435654640197754e+03,5.191433143615722656e+03,4.730011940002441406e+03
4.141629862785339355e+03,5.148352813720703125e+03,4.723786830902099609e+03
4.149988341331481934e+03,5.105604600906372070e+03,4.716983795166015625e+03
4.159711527824401855e+03,5.064118099212646484e+03,4.710164070129394531e+03
4.168866086006164551e+03,5.022517871856689453e+03,4.701299667358398438e+03
4.177250790596008301e+03,4.981703233718872070e+03,4.692093849182128906e+03
4.185510802268981934e+03,4.940879297256469727e+03,4.682094097137451172e+03
4.193652558326721191e+03,4.900238466262817383e+03,4.670266151428222656e+03
4.202104258537292480e+03,4.860011529922485352e+03,4.657538414001464844e+03
4.210192370414733887e+03,4.820762348175048828e+03,4.643692970275878906e+03
4.218043375015258789e+03,4.781077575683593750e+03,4.627992153167724609e+03
4.225750851631164551e+03,4.741603326797485352e+03,4.612151622772216797e+03
4.233465719223022461e+03,4.702465724945068359e+03,4.595592975616455078e+03
4.241134095191955566e+03,4.664112997055053711e+03,4.576714515686035156e+03
4.248419213294982910e+03,4.626152467727661133e+03,4.556324005126953125e+03
4.255680489540100098e+03,4.588447999954223633e+03,4.535807609558105469e+03
4.263100075721740723e+03,4.550796222686767578e+03,4.515178680419921875e+03
4.270171689987182617e+03,4.513704252243041992e+03,4.493061065673828125e+03
4.277071046829223633e+03,4.476462078094482422e+03,4.469577789306640625e+03
4.284112143516540527e+03,4.440345954895019531e+03,4.444732189178466797e+03
4.290675449371337891e+03,4.404409360885620117e+03,4.419071197509765625e+03
4.297106194496154785e+03,4.368372631072998047e+03,4.392890930175781250e+03
4.303489375114440918e+03,4.332585048675537109e+03,4.365848541259765625e+03
4.310340213775634766e+03,4.298008155822753906e+03,4.337257385253906250e+03
4.316641259193420410e+03,4.263919544219970703e+03,4.307746410369873047e+03
4.322079110145568848e+03,4.228868436813354492e+03,4.277431964874267578e+03
nan,nan,nan
nan,nan,nan
4.341055083274841309e+03,4.129155111312866211e+03,4.181121826171875000e+03
4.346954989433288574e+03,4.096360635757446289e+03,4.147216796875000000e+03
4.352620768547058105e+03,4.063393068313598633e+03,4.112573623657226562e+03
4.358229327201843262e+03,4.031231355667114258e+03,4.077134132385253906e+03
nan,nan,nan
4.369172859191894531e+03,3.968312454223632812e+03,4.003662586212158203e+03
4.374744701385498047e+03,3.937308263778686523e+03,3.965849876403808594e+03
4.380359935760498047e+03,3.906776142120361328e+03,3.927089691162109375e+03
4.385696816444396973e+03,3.876547288894653320e+03,3.887485980987548828e+03
4.390550065040588379e+03,3.846591901779174805e+03,3.847275972366333008e+03
nan,nan,nan
nan,nan,nan
4.406107354164123535e+03,3.758919906616210938e+03,3.722498416900634766e+03
4.410790371894836426e+03,3.730338287353515625e+03,3.679220199584960938e+03
4.415200519561767578e+03,3.701981019973754883e+03,3.635327100753784180e+03
4.420107889175415039e+03,3.674105358123779297e+03,3.590807676315307617e+03
4.425152230262756348e+03,3.646799993515014648e+03,3.545530319213867188e+03
4.429983782768249512e+03,3.620083045959472656e+03,3.499492645263671875e+03
4.434378790855407715e+03,3.593366813659667969e+03,3.452755689620971680e+03
nan,nan,nan
nan,nan,nan
nan,nan,nan
4.451623725891113281e+03,3.489587736129760742e+03,3.259675502777099609e+03
4.455732035636901855e+03,3.464773130416870117e+03,3.209901571273803711e+03
